year,company,currency,open,high,low,close
2017,YG-1,KRW,9120.0,16500.0,8790.0,15150.0
2018,YG-1,KRW,15050.0,21500.0,8850.0,9320.0
2019,YG-1,KRW,9370.0,12650.0,7000.0,7600.0
2020,YG-1,KRW,7560.0,7560.0,3130.0,6340.0
2021,YG-1,KRW,6360.0,11350.0,5470.0,7400.0
2022,YG-1,KRW,7490.0,10150.0,5300.0,6380.0
2023,YG-1,KRW,6380.0,7610.0,5200.0,5750.0
2024,YG-1,KRW,5790.0,6750.0,4820.0,5120.0
2025,YG-1,KRW,5100.0,6620.0,4900.0,5300.0
2026,YG-1,KRW,5300.0,15300.0,4985.0,13810.0
2017,OSG,JPY,2317.0,2587.0,2099.0,2440.0
2018,OSG,JPY,2440.0,2949.0,1883.0,2131.0
2019,OSG,JPY,2083.0,2386.0,1912.0,2090.0
2020,OSG,JPY,2086.0,2144.0,1150.0,1971.0
2021,OSG,JPY,1980.0,2171.0,1632.0,1786.0
2022,OSG,JPY,1825.0,2172.0,1534.0,1817.0
2023,OSG,JPY,1817.0,2117.0,1667.5,2022.0
2024,OSG,JPY,1992.5,2206.0,1714.5,1854.5
2025,OSG,JPY,1858.0,2360.0,1454.0,2286.0
2026,OSG,JPY,2308.0,3072.0,2285.0,3034.0
2017,KMT,USD,31.920000076293945,49.310001373291016,31.280000686645508,48.40999984741211
2018,KMT,USD,48.61000061035156,52.52000045776367,30.31999969482422,33.279998779296875
2019,KMT,USD,32.38999938964844,42.029998779296875,27.489999771118164,36.88999938964844
2020,KMT,USD,37.27000045776367,39.22999954223633,14.449999809265137,36.2400016784668
2021,KMT,USD,36.54999923706055,43.040000915527344,32.5,35.90999984741211
2022,KMT,USD,36.0099983215332,38.36000061035156,20.209999084472656,24.059999465942383
2023,KMT,USD,24.25,30.600000381469727,22.079999923706055,25.790000915527344
2024,KMT,USD,25.520000457763672,32.18000030517578,22.5,24.020000457763672
2025,KMT,USD,24.18000030517578,29.889999389648438,17.299999237060547,28.40999984741211
2026,KMT,USD,28.610000610351562,42.029998779296875,28.25,38.880001068115234
