항목(단위:억원),2016/12,2017/12,2018/12,2019/12,2020/12,2021/12,2022/12,2023/12,2024/12,2025/12
영업활동으로인한현금흐름,582,505,315,344,745,909,131,402,509,383
  당기순이익,184,356,219,6,-366,221,334,244,170,253
  가감,550,588,642,606,742,673,846,841,953,"1,003"
  자산부채의증감,-75,-342,-461,-187,403,59,-888,-481,-487,-653
  법인세납부,77,96,85,81,34,44,161,201,128,220
투자활동으로인한현금흐름,-693,-723,-802,-422,-568,-350,-264,-565,-452,-500
  유형자산의취득,-690,-735,-604,-589,-516,-391,-456,-573,-375,-558
  무형자산의취득,-32,-32,-19,-5,-9,-13,-17,-9,-10,-13
재무활동으로인한현금흐름,8,280,423,107,377,-910,215,44,-4,288
  단기차입금의증가,193,361,846,827,"1,126","1,042","1,380","1,743","1,897","2,173"
  단기차입금의상환,-503,-518,-485,-472,-975,"-1,216",-852,"-1,518","-1,534","-1,883"
  장기차입금의증가,477,"1,027",774,299,838,246,605,689,311,505
  유동성장기부채의상환,-104,-666,-460,-536,697,-459,-793,-740,329,538
  사채의발행,189,189,249,429,230,369,150,529,269,898
  사채의상환,-130,-190,-300,-190,0,-680,0,-230,-370,-450
  이자의지급,-110,-125,-141,-152,-126,-125,-148,-278,-305,-303
  배당금지급,-41,-48,-61,-63,-38,-31,-62,-107,-96,-60
현금및현금성자산의순증가,-103,57,-64,23,550,-348,77,-122,73,178
기초현금및현금성자산,243,140,196,132,156,706,358,435,313,386
기말현금및현금성자산,140,196,132,156,706,358,435,313,386,564
